usps2,uscg,statename,gpo,ap,alt1,alt2,alt3,alt4,alt5,alt6
AL,AL,Alabama,Ala.,Ala.,,,,,,
AK,AK,Alaska,Alaska,Alaska,Alas.,,,,,
AZ,AZ,Arizona,Ariz.,Ariz.,Az.,,,,,
AR,AR,Arkansas,Ark.,Ark.,,,,,,
CA,CF,California,Calif.,Calif.,Ca.,Cal.,,,,
CO,CL,Colorado,Colo.,Colo.,Col.,Co.,,,,
CT,CT,Connecticut,Conn.,Conn.,Ct.,,,,,
DE,DL,Delaware,Del.,Del.,De.,,,,,
DC,DC,District of Columbia,D.C.,D.C.,Wash. D.C.,,,,,
FL,FL,Florida,Fla.,Fla.,Fl.,Flor.,,,,
GA,GA,Georgia,Ga.,Ga.,Georgia.,,,,,
HI,HA,Hawaii,Hawaii,Hawaii,H.I.,Haw.,Hawai'I,Hawai'i,Hawai i,Hi
ID,ID,Idaho,Idaho,Idaho,Id.,Ida.,,,,
IL,IL,Illinois,Ill.,Il.,Ill's,Ills.,,,,
IN,IN,Indiana,Ind.,Ind.,In.,Ind,,,,
IA,IA,Iowa,Iowa,Iowa,Ia.,Ioa.,Iowa.,,,
KS,KA,Kansas,Kans.,Kan.,Ks.,Ka.,,,,
KY,KY,Kentucky,Ky.,Ky.,Ken.,Kent.,"Ky,",,,
LA,LA,Louisiana,La.,La.,,,,,,
ME,ME,Maine,Maine,Maine,Me.,,,,,
MD,MD,Maryland,Md.,Md.,,,,,,
MA,MS,Massachusetts,Mass.,Mass.,Ma.,,,,,
MI,MC,Michigan,Mich.,Mich.,,,,,,
MN,MN,Minnesota,Minn.,Minn.,Mn.,,,,,
MS,MI,Mississippi,Miss.,Miss.,,,,,,
MO,MO,Missouri,Mo.,Mo.,,,,,,
MT,MT,Montana,Mont.,Mont.,,,,,,
NE,NB,Nebraska,Nebr.,Neb.,,,,,,
NV,NV,Nevada,Nev.,Nev.,Nv.,,,,,
NH,NH,New Hampshire,N.H.,N.H.,N.H,,,,,
NJ,NJ,New Jersey,N.J.,N.J.,N.Jersey,N. J.,N.J,,,
NM,NM,New Mexico,N. Mex.,N.M.,New M.,,,,,
NY,NY,New York,N.Y.,N.Y.,N. York,N.Y,,,,
NC,NC,North Carolina,N.C.,N.C.,N. Car.,,,,,
ND,ND,North Dakota,N. Dak.,N.D.,NoDak,,,,,
OH,OH,Ohio,Ohio,Ohio,Oh.,O.H.,Ohio.,,,
OK,OK,Oklahoma,Okla.,Okla.,Ok.,,,,,
OR,OR,Oregon,Oreg.,Ore.,Or.,,,,,
PA,PA,Pennsylvania,Pa.,Pa.,Penn.,Penna.,,,,
RI,RI,Rhode Island,R.I.,R.I.,R.I.,R. Isl.,,,,
SC,SC,South Carolina,S.C.,S.C.,S. Car.,S.C,,,,
SD,SD,South Dakota,S. Dak.,S.D.,SoDak,,,,,
TN,TN,Tennessee,Tenn.,Tenn.,,,,,,
TX,TX,Texas,Tex.,Texas,Tx.,Texas.,,,,
UT,UT,Utah,Utah,Utah,Ut.,,,,,
VT,VT,Vermont,Vt.,Vt.,,,,,,
VA,VA,Virginia,Va.,Va.,Virg.,,,,,
WA,WN,Washington,Wash.,Wash.,Wa.,Wn.,,,,
WV,WV,West Virginia,W. Va.,W.Va.,W.V.,W. Virg.,W. Va.,,,
WI,WS,Wisconsin,Wis.,Wis.,Wi.,Wisc.,,,,
WY,WY,Wyoming,Wyo.,Wyo.,Wy.,,,,,
