,name,hometown,high school,school,name text,hometown text,high school text,school text,sport,college
0,Abdul-Malik Abu,"Boston, Mass. / Kimball Union Academy","Boston, Mass. / Kimball Union Academy","Boston, Mass. / Kimball Union Academy",Full Name,Hometown / High School,Hometown / High School,Hometown / High School,mens basketball,nc_state
1,Lennard Freeman,"Washington, D.C. / Oak Hill Academy (Va.)","Washington, D.C. / Oak Hill Academy (Va.)","Washington, D.C. / Oak Hill Academy (Va.)",Full Name,Hometown / High School,Hometown / High School,Hometown / High School,mens basketball,nc_state
2,Torin Dorn,"Charlotte, N.C. / Vance","Charlotte, N.C. / Vance","Charlotte, N.C. / Vance",Full Name,Hometown / High School,Hometown / High School,Hometown / High School,mens basketball,nc_state
3,"Lavar Batts, Jr.","Concord, N.C. / Jay M. Robinson","Concord, N.C. / Jay M. Robinson","Concord, N.C. / Jay M. Robinson",Full Name,Hometown / High School,Hometown / High School,Hometown / High School,mens basketball,nc_state
4,Darius Hicks,"Quitman, Miss. / 22 Feet Academy","Quitman, Miss. / 22 Feet Academy","Quitman, Miss. / 22 Feet Academy",Full Name,Hometown / High School,Hometown / High School,Hometown / High School,mens basketball,nc_state
5,Braxton Beverly,"Hazard, Ky. / Hargrave Military Academy (Va.)","Hazard, Ky. / Hargrave Military Academy (Va.)","Hazard, Ky. / Hargrave Military Academy (Va.)",Full Name,Hometown / High School,Hometown / High School,Hometown / High School,mens basketball,nc_state
6,Markell Johnson,"Cleveland, Ohio / East Tech","Cleveland, Ohio / East Tech","Cleveland, Ohio / East Tech",Full Name,Hometown / High School,Hometown / High School,Hometown / High School,mens basketball,nc_state
7,Allerik Freeman,"Charlotte, N.C. / Findlay Prep (Nev.)","Charlotte, N.C. / Findlay Prep (Nev.)","Charlotte, N.C. / Findlay Prep (Nev.)",Full Name,Hometown / High School,Hometown / High School,Hometown / High School,mens basketball,nc_state
8,C.J. Bryce,"Charlotte, N.C. / North Mecklenburg","Charlotte, N.C. / North Mecklenburg","Charlotte, N.C. / North Mecklenburg",Full Name,Hometown / High School,Hometown / High School,Hometown / High School,mens basketball,nc_state
9,Omer Yurtseven,"Istanbul, Turkey","Istanbul, Turkey","Istanbul, Turkey",Full Name,Hometown / High School,Hometown / High School,Hometown / High School,mens basketball,nc_state
10,Sam Hunt,"Greensboro, N.C. / Dudley","Greensboro, N.C. / Dudley","Greensboro, N.C. / Dudley",Full Name,Hometown / High School,Hometown / High School,Hometown / High School,mens basketball,nc_state
11,Devon Daniels,"Battle Creek, Mich. / Justin-Siena (Calif.)","Battle Creek, Mich. / Justin-Siena (Calif.)","Battle Creek, Mich. / Justin-Siena (Calif.)",Full Name,Hometown / High School,Hometown / High School,Hometown / High School,mens basketball,nc_state
12,Spencer Newman,"Daphne, Ala. / Bayside Academy","Daphne, Ala. / Bayside Academy","Daphne, Ala. / Bayside Academy",Full Name,Hometown / High School,Hometown / High School,Hometown / High School,mens basketball,nc_state
0,Aislinn Konig,"Surrey, British Columbia / Brookswood Secondary","Surrey, British Columbia / Brookswood Secondary","Surrey, British Columbia / Brookswood Secondary",Name,Hometown / High School,Hometown / High School,Hometown / High School,womens basketball,nc_state
1,Kaila Ealey,"Raleigh, N.C. / Needham Broughton","Raleigh, N.C. / Needham Broughton","Raleigh, N.C. / Needham Broughton",Name,Hometown / High School,Hometown / High School,Hometown / High School,womens basketball,nc_state
2,Kai Crutchfield,"Raleigh, N.C. / Millbrook","Raleigh, N.C. / Millbrook","Raleigh, N.C. / Millbrook",Name,Hometown / High School,Hometown / High School,Hometown / High School,womens basketball,nc_state
3,Kiara Leslie,"Holly Springs, N.C. / Holly Springs","Holly Springs, N.C. / Holly Springs","Holly Springs, N.C. / Holly Springs",Name,Hometown / High School,Hometown / High School,Hometown / High School,womens basketball,nc_state
4,Esra McGoldrick,"Christchurch, New Zealand / Rangi Ruru Girls' School","Christchurch, New Zealand / Rangi Ruru Girls' School","Christchurch, New Zealand / Rangi Ruru Girls' School",Name,Hometown / High School,Hometown / High School,Hometown / High School,womens basketball,nc_state
5,DD Rogers,"Charlotte, N.C. / Myers Park HS","Charlotte, N.C. / Myers Park HS","Charlotte, N.C. / Myers Park HS",Name,Hometown / High School,Hometown / High School,Hometown / High School,womens basketball,nc_state
6,Grace Hunter,"Raleigh, N.C. / Athens Drive","Raleigh, N.C. / Athens Drive","Raleigh, N.C. / Athens Drive",Name,Hometown / High School,Hometown / High School,Hometown / High School,womens basketball,nc_state
7,Erika Cassell,"Marietta, Ga. / Holy Innocents","Marietta, Ga. / Holy Innocents","Marietta, Ga. / Holy Innocents",Name,Hometown / High School,Hometown / High School,Hometown / High School,womens basketball,nc_state
8,Kayla Jones,"Jamesville, N.C. / Riverside","Jamesville, N.C. / Riverside","Jamesville, N.C. / Riverside",Name,Hometown / High School,Hometown / High School,Hometown / High School,womens basketball,nc_state
9,Jada Rice,"Suwanee, Ga. / Collins Hill","Suwanee, Ga. / Collins Hill","Suwanee, Ga. / Collins Hill",Name,Hometown / High School,Hometown / High School,Hometown / High School,womens basketball,nc_state
10,Elissa Cunane,"Summerfield, N.C. / Northern Guilford","Summerfield, N.C. / Northern Guilford","Summerfield, N.C. / Northern Guilford",Name,Hometown / High School,Hometown / High School,Hometown / High School,womens basketball,nc_state
11,Katie Wadsworth,"Raleigh, N.C. / Needham Broughton","Raleigh, N.C. / Needham Broughton","Raleigh, N.C. / Needham Broughton",Name,Hometown / High School,Hometown / High School,Hometown / High School,womens basketball,nc_state
12,Armani Hawkins,"Mesa, Ariz. / Mountain View","Mesa, Ariz. / Mountain View","Mesa, Ariz. / Mountain View",Name,Hometown / High School,Hometown / High School,Hometown / High School,womens basketball,nc_state
0,Terrell Tatum,"Collierville, Tenn.",Houston,Houston,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
1,David Vazquez,"Hialeah, Fla.",Stoneman Douglas,Stoneman Douglas,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
2,Devonte Brown,"Newnan, Ga.",East Coweta,East Coweta,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
3,Patrick Bailey,"Greensboro, N.C.",Wesleyan Christian Academy,Wesleyan Christian Academy,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
4,Brett Kinneman,"York, Pa.",West York Area,West York Area,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
5,Stephen Pitarra,"Cary, N.C.",Green Hope,Green Hope,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
6,Will Wilson,"Kings Mountain, N.C.",Kings Mountain,Kings Mountain,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
7,David Harrison,"Rocky Mount, N.C.",Rocky Mount,Rocky Mount,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
8,Lawson McArthur,"Charlotte, N.C.",South Mecklenburg,South Mecklenburg,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
9,Brad Debo,"Durham, N.C.",Orange,Orange,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
10,Brock Deatherage,"Burlington, N.C.",Western Alamance,Western Alamance,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
