,name,hometown,high school?,sport,college
0,William Jackson II,"Athens, Ga.",Athens Christian School,mens basketball,georgia
1,Teshaun Hightower,"Lithonia, Ga.",Mt. Zion Prep School,mens basketball,georgia
2,Jordan Harris,"Iron City, Ga.",Seminole County                                          High School,mens basketball,georgia
3,Tyree Crump,"Bainbridge, Ga.",Bainbridge                                    High School,mens basketball,georgia
4,JoJo Toppin,"Norcross, Ga.",Norcross High School,mens basketball,georgia
5,Jack Herring,"Memphis, Tenn.",Christian Brothers High School,mens basketball,georgia
6,Christian Harrison,"Atlanta, Ga.",Woodward                                           Academy,mens basketball,georgia
7,E'Torrion Wilridge,"Beaumont, Texas",Central                                            Medical Magnet High School,mens basketball,georgia
8,Tye Fagan,"Thomaston, Ga.",Upson-Lee High School,mens basketball,georgia
9,Rayshaun Hammonds,"Norcross, Ga.",Norcross High School,mens basketball,georgia
10,Connor O'Neill,"Roswell, Ga.",Tilton (N.H.) Prep                                  School,mens basketball,georgia
11,Amanze Ngumezi,"Savannah, Ga.",Johnson High School,mens basketball,georgia
12,Mike Edwards,"Westland, Mich.",John Glenn                                High School,mens basketball,georgia
13,Nicolas Claxton,"Greenville, S.C.",Legacy Charter School,mens basketball,georgia
14,Derek Ogbeide,"Atlanta, Ga.",Pebblebrook High                                            School,mens basketball,georgia
15,Ignas Sargiunas,"Kaunas, Lithuania",Jonas Basanavicius Gymnasium,mens basketball,georgia
16,Taja Cole,"Richmond, Va.",Louisville,womens basketball,georgia
17,Donnetta  Johnson,"Queens, NY",Baldwin,womens basketball,georgia
18,Gabby Connally,"San Antonio, Texas",Brandeis,womens basketball,georgia
19,Stephanie Paul,"Naples, Fla.",Community School                                                    of Naples,womens basketball,georgia
20,Caliya Robinson,"Marietta, Ga.",McEachern                                                    HS,womens basketball,georgia
21,Caitlin Hose,"Hazel Green, Ala.",Hazel Green,womens basketball,georgia
22,Maya Caldwell,"Charlotte, N.C.",Davidson Day School,womens basketball,georgia
23,Kaila Hubbard,"Jonesboro, Ga.",Holy Innocents,womens basketball,georgia
24,Jenna Staiti,"Cumming, Ga.",West Forsyth,womens basketball,georgia
25,Malury Bates,"Roanoke, Va.",William Fleming,womens basketball,georgia
26,Que Morrison,"Riverdale, Ga.",McEachern,womens basketball,georgia
27,Ari Henderson,"Chamblee, Ga.",Chamblee                                                     School,womens basketball,georgia
28,Tucker Maxwell,"Dawsonville, Ga.",Dawson County,baseball,georgia
29,LJ Talley,"Folkston, Ga.",Charlton County,baseball,georgia
30,Randon Jernigan,"Brunswick, Ga.",Glynn Academy,baseball,georgia
31,C.J. Smith,"Royston, Ga.",Home School,baseball,georgia
32,Kaden Fowler,"El Dorado, Ks.",El Dorado HS,baseball,georgia
33,Cam Shepherd,"Duluth, Ga.",Peachtree Ridge,baseball,georgia
34,Austin Biggar,"Lilburn, Ga.",Parkview,baseball,georgia
35,Will Proctor,"Manhattan Beach, Calif.",Mira Costa,baseball,georgia
36,Zac Kristofak,"Marietta, Ga.",Walton,baseball,georgia
37,Cole Wilcox,"Chickamauga, Ga.",Heritage HS,baseball,georgia
38,Patrick Sullivan,"Sandy Springs, Ga.",Marist,baseball,georgia
39,Cole Tate,"Bishop, Ga.",Oconee,baseball,georgia
40,Adam Goodman,"Fayetteville, Ga.",Starr's Mill,baseball,georgia
41,Emerson Hancock,"Cairo, Ga.",Cairo,baseball,georgia
42,James Williams,"Kennesaw, Ga.",Harrison,baseball,georgia
43,Jack Gowen,"Folkston, Ga.",Charlton County HS,baseball,georgia
44,Chaney Rogers,"Ringgold, Ga.",Gordon Lee,baseball,georgia
45,Logan Moody,"LaGrange, Ga.",LaGrange,baseball,georgia
46,Aaron Schunk,"Atlanta, Ga.",The Lovett School,baseball,georgia
47,Connor Tate,"Bishop, Ga.",Oconee,baseball,georgia
48,Tony Locey,"Columbus, Ga.",Houston Co.,baseball,georgia
49,Christian Ryder,"Acworth, Ga.",North Paulding,baseball,georgia
50,Trevor Tinder,"Winter Springs, Fla.",Winter Springs,baseball,georgia
51,Tucker Bradley,"Chickamauga, Ga.",Gordon Lee,baseball,georgia
52,Mason Meadows,"Roswell, Ga.",Pope,baseball,georgia
53,Riley King,"Lawrenceville, Ga.",Collins Hill,baseball,georgia
54,Shane Marshall,"Naples, Fla.",Gulf Coast HS,baseball,georgia
55,Justin Glover,"Buford, Ga.",Buford,baseball,georgia
56,Jordan Dubberly,"Hazlehurst, Ga.",Jeff Davis,baseball,georgia
57,Hunter Goodwin,"Sylvester, Ga.",Worth County HS,baseball,georgia
58,Darryn Pasqua,"Rocky Face, Ga.",Christian Heritage,baseball,georgia
59,Steven Minter,"Powder Springs, Ga.",Hillgrove,baseball,georgia
60,John Cable,"Roswell, Ga.",River Ridge HS,baseball,georgia
61,Riley Crean,"Athens, Ga.",IMG Academy/Bloomington N. HS,baseball,georgia
62,Tim Elliott,"Loganville, Ga.                                                  Ga.",Loganville,baseball,georgia
63,Garrett Brown,"Manchester, Ga.",Manchester HS,baseball,georgia
64,Ryan Avidano,"Peachtree City, Ga.",Starr's Mill,baseball,georgia
65,Ryan Webb,"Roswell, Ga.",Pope,baseball,georgia
66,Brenton Cox,"Stockbridge, Ga.",Stockbridge HS,football,georgia
67,Justin Fields,"Kennesaw, Ga.",Harrison HS,football,georgia
68,Richard LeCounte,"Riceboro, Ga.",Liberty County,football,georgia
69,Jayson Stanley,"Fairburn, Ga.",Creekside,football,georgia
70,Tyson Campbell,"Plantation, Fla.",American Heritage,football,georgia
71,Zamir White,"Laurinburg, N.C.",Scotland HS,football,georgia
72,Mecole Hardman,"Bowman, Ga.",Elbert County,football,georgia
73,Mason Wood,"Douglasville, Ga.",Alexander,football,georgia
74,Terry Godwin,"Hogansville, Ga.",Callaway,football,georgia
75,Julian Rochester,"Powder Springs,                                                    Ga.",McEachern,football,georgia
76,James Cook,"Miami, Fla.",Miami Central,football,georgia
77,Natrez Patrick,"Atlanta, Ga.",Mays,football,georgia
78,Jay Hayes,"Brooklyn, N.Y.",Poly Prep Country Day,football,georgia
79,D'Andre Swift,"Philadelphia, Pa.",St. Joseph's Prep,football,georgia
80,Deangelo Gibbs,"Oxford, Ga.",Grayson,football,georgia
81,Riley Ridley,"Coconut Creek, Fla.",Deerfield                                                    Beach,football,georgia
82,Jeremiah Holloman,"Covington, Ga.",Newton County                                                    County,football,georgia
83,Ameer Speed,"Jacksonville, Fla.",Sandalwood,football,georgia
84,Malik Herring,"Forsyth, Ga.",Mary Persons,football,georgia
85,Kearis Jackson,"Fort Valley, Ga.",Peach County HS,football,georgia
