,name,hometown,high school?,sport,college
0,Luguentz Dort,"Montreal, Quebec",N/A,mens basketball,arizona_state
1,Remy Martin,"Chatsworth, CA",N/A,mens basketball,arizona_state
2,Rob Edwards,"Detroit, MI",Cleveland State/Cass Tech,mens basketball,arizona_state
3,Mickey Mitchell,"Orlando, FL",Ohio State,mens basketball,arizona_state
4,Kyle Feit,"West Palm Beach, FL",N/A,mens basketball,arizona_state
5,Vitaliy Shibel,"Ivano-Frankivsk, Ukraine",N/A,mens basketball,arizona_state
6,Elias Valtonen,"Eura, Finland",N/A,mens basketball,arizona_state
7,Kimani Lawrence,"Providence, R.I.",N/A,mens basketball,arizona_state
8,Jack Roggin,"Calabasas, CA",N/A,mens basketball,arizona_state
9,Romello White,"Suwanee, GA",N/A,mens basketball,arizona_state
10,Jordan Salzman,"Locust Valley, NY",N/A,mens basketball,arizona_state
11,Grant Fogerty,"Scottsdale, AZ",N/A,mens basketball,arizona_state
12,Trevor Thompson,"Phoenix, AZ",N/A,mens basketball,arizona_state
13,De'Quon Lake,"Charlotte, Amalie, St. Thomas (US Virgin Islands)",Iowa Western CC,mens basketball,arizona_state
14,Uros Plavsic,"Ivanjica, Serbia",N/A,mens basketball,arizona_state
15,Taeshon Cherry,"El Cajon, CA",N/A,mens basketball,arizona_state
16,Zylan Cheatham,"Phoenix, AZ",San Diego State,mens basketball,arizona_state
17,Taya Hanson,"Kelowna, British Columbia",Kelowna Secondary School,womens basketball,arizona_state
18,Reili  Richardson,"Brea, Calif.",Brea Olinda,womens basketball,arizona_state
19,Kiara Russell,"Minneapolis, Minn.",Osseo,womens basketball,arizona_state
20,Jamie Loera,"Moses Lake, Wash.",Moses Lake,womens basketball,arizona_state
21,Robbi Ryan,"Sheridan, Wyo.",Sheridan,womens basketball,arizona_state
22,Sophia Elenga,"Nogent Sur Oise, France",Lycee Alain Fournier,womens basketball,arizona_state
23,Courtney Ekmark,"Arcadia, Ariz.",St. Mary’s,womens basketball,arizona_state
24,Iris Mbulito,"Las Palmas de Gran Canaria, Spain",IES Poeta Tomás Morales Castellano,womens basketball,arizona_state
25,Bre’yanna Sanders,"Fresno, Calif.",Clovis West,womens basketball,arizona_state
26,Jayde Van Hyfte,"Annawan, Ill.",Annawan,womens basketball,arizona_state
27,Charnea Johnson-Chapman,"Moreno Valley, Calif.",Canyon Springs,womens basketball,arizona_state
28,Kianna Ibis,"Omaha, Neb.",Benson,womens basketball,arizona_state
